user_id,item_id,event_type,timestamp
196,242,watch,881250949
186,302,watch,891717742
22,377,watch,878887116
244,51,watch,880606923
166,346,watch,886397596
298,474,watch,884182806
115,265,watch,881171488
253,465,watch,891628467
305,451,watch,886324817
6,86,watch,883603013
62,257,watch,879372434
286,1014,watch,879781125
200,222,watch,876042340
210,40,watch,891035994
224,29,watch,888104457
303,785,watch,879485318
122,387,watch,879270459
194,274,watch,879539794
291,1042,watch,874834944
234,1184,watch,892079237
119,392,watch,886176814
167,486,watch,892738452
299,144,watch,877881320
291,118,watch,874833878
308,1,watch,887736532
95,546,watch,879196566
38,95,watch,892430094
102,768,watch,883748450
63,277,watch,875747401
160,234,watch,876861185
50,246,watch,877052329
301,98,watch,882075827
225,193,watch,879539727
290,88,watch,880731963
97,194,watch,884238860
157,274,watch,886890835
181,1081,watch,878962623
278,603,watch,891295330
276,796,watch,874791932
7,32,watch,891350932
10,16,watch,877888877
284,304,watch,885329322
201,979,watch,884114233
276,564,watch,874791805
287,327,watch,875333916
246,201,watch,884921594
242,1137,watch,879741196
249,241,watch,879641194
99,4,watch,886519097
178,332,watch,882823437
251,100,watch,886271884
81,432,watch,876535131
260,322,watch,890618898
25,181,watch,885853415
59,196,watch,888205088
72,679,watch,880037164
87,384,watch,879877127
290,143,watch,880474293
42,423,watch,881107687
292,515,watch,881103977
115,20,watch,881171009
20,288,watch,879667584
201,219,watch,884112673
13,526,watch,882141053
246,919,watch,884920949
138,26,watch,879024232
167,232,watch,892738341
60,427,watch,883326620
57,304,watch,883698581
223,274,watch,891550094
189,512,watch,893277702
243,15,watch,879987440
92,1049,watch,890251826
246,416,watch,884923047
194,165,watch,879546723
241,690,watch,887249482
178,248,watch,882823954
254,1444,watch,886475558
293,5,watch,888906576
127,229,watch,884364867
225,237,watch,879539643
299,229,watch,878192429
225,480,watch,879540748
276,54,watch,874791025
291,144,watch,874835091
222,366,watch,878183381
267,518,watch,878971773
42,403,watch,881108684
11,111,watch,891903862
95,625,watch,888954412
8,338,watch,879361873
162,25,watch,877635573
87,1016,watch,879876194
279,154,watch,875296291
145,275,watch,885557505
119,1153,watch,874781198
62,498,watch,879373848
62,382,watch,879375537
28,209,watch,881961214
135,23,watch,879857765
32,294,watch,883709863
90,382,watch,891383835
286,208,watch,877531942
